date,institution,FUTURE_INDEX,CALL_OI,PUT_OI,OPTIONS_NET_OI,FUTURE_INDEX_CHANGE,CALL_OI_CHANGE,PUT_OI_CHANGE,OPTIONS_NET_OI_CHANGE
2025-02-18,CLIENT,142616.0,-94274.0,-374759.0,280485.0,1874.0,32120.0,-28361.0,60481.0
2025-02-18,DII,20736.0,70.0,14984.0,-14914.0,-569.0,0.0,0.0,0.0
2025-02-18,FII,-187332.0,46400.0,272894.0,-226494.0,-1632.0,-2912.0,13720.0,-16632.0
2025-02-18,PRO,23980.0,47804.0,86882.0,-39078.0,327.0,-29208.0,14642.0,-43850.0
2025-02-19,CLIENT,143907.0,-37964.0,-296739.0,258775.0,1291.0,56310.0,78020.0,-21710.0
2025-02-19,DII,25451.0,70.0,14984.0,-14914.0,4715.0,0.0,0.0,0.0
2025-02-19,FII,-185533.0,58826.0,268008.0,-209182.0,1799.0,12426.0,-4886.0,17312.0
2025-02-19,PRO,16175.0,-20932.0,13748.0,-34680.0,-7805.0,-68736.0,-73134.0,4398.0
2025-02-20,CLIENT,146811.0,-8407.0,-341393.0,332986.0,2904.0,29557.0,-44654.0,74211.0
2025-02-20,DII,29849.0,70.0,14984.0,-14914.0,4398.0,0.0,0.0,0.0
2025-02-20,FII,-192204.0,37230.0,263042.0,-225812.0,-6671.0,-21596.0,-4966.0,-16630.0
2025-02-20,PRO,15544.0,-28893.0,63368.0,-92261.0,-631.0,-7961.0,49620.0,-57581.0
2025-02-21,CLIENT,138892.0,-7831.0,-415566.0,407735.0,-7919.0,576.0,-74173.0,74749.0
2025-02-21,DII,28833.0,70.0,14984.0,-14914.0,-1016.0,0.0,0.0,0.0
2025-02-21,FII,-192891.0,26436.0,279434.0,-252998.0,-687.0,-10794.0,16392.0,-27186.0
2025-02-21,PRO,25166.0,-18675.0,121149.0,-139824.0,9622.0,10218.0,57781.0,-47563.0
2025-02-24,CLIENT,148720.0,116849.0,-345655.0,462504.0,9828.0,124680.0,69911.0,54769.0
2025-02-24,DII,29310.0,70.0,12984.0,-12914.0,477.0,0.0,-2000.0,2000.0
2025-02-24,FII,-200890.0,3689.0,282356.0,-278667.0,-7999.0,-22747.0,2922.0,-25669.0
